firm,crste,vrste,scale,label

1,0.030,0.037,0.825,irs
2,0.028,0.032,0.883,irs
3,0.014,0.022,0.633,drs
4,0.017,0.023,0.737,drs
5,0.014,0.021,0.678,drs
6,0.013,0.022,0.597,drs
7,0.013,0.022,0.565,drs
8,0.013,0.022,0.585,drs
9,0.011,0.021,0.511,drs
10,0.008,0.019,0.417,drs
11,0.008,0.017,0.456,drs
12,0.006,0.013,0.431,drs
13,0.005,0.012,0.422,drs
14,0.004,0.010,0.409,drs
15,0.003,0.008,0.340,drs
16,0.002,0.007,0.346,drs
17,0.002,0.006,0.349,drs
18,0.002,0.007,0.339,drs
19,0.026,0.035,0.728,drs
20,0.025,0.035,0.708,drs
21,0.022,0.035,0.623,drs
22,0.017,0.035,0.476,drs
23,0.013,0.030,0.442,drs
24,0.014,0.031,0.449,drs
25,0.012,0.031,0.374,drs
26,0.057,1.000,0.057,irs
27,0.011,0.032,0.342,drs
28,0.009,0.033,0.289,drs
29,0.050,0.056,0.897,irs
30,0.029,0.034,0.874,drs
31,0.009,0.032,0.283,drs
32,0.018,0.033,0.529,drs
33,0.016,0.031,0.515,drs
34,0.007,0.029,0.237,drs
35,0.007,0.028,0.242,drs
36,0.007,0.028,0.231,drs
37,0.728,0.764,0.952,irs
38,0.652,0.663,0.983,irs
39,0.451,0.616,0.733,drs
40,0.458,0.614,0.746,drs
41,0.309,0.599,0.515,drs
42,0.310,0.600,0.517,drs
43,0.298,0.597,0.499,drs
44,0.282,0.598,0.472,drs
45,0.240,0.597,0.402,drs
46,0.190,0.594,0.321,drs
47,0.211,0.592,0.357,drs
48,0.218,0.590,0.370,drs
49,0.210,0.592,0.355,drs
50,0.199,0.590,0.337,drs
51,0.190,0.569,0.335,drs
52,0.188,0.558,0.336,drs
53,0.175,0.552,0.317,drs
54,0.157,0.547,0.287,drs
55,0.508,0.900,0.564,irs
56,0.407,0.488,0.835,irs
57,0.498,1.000,0.498,irs
58,0.345,0.384,0.897,irs
59,0.278,0.286,0.973,irs
60,0.377,0.493,0.764,irs
61,0.256,0.262,0.977,drs
62,0.173,0.262,0.658,drs
63,0.194,0.265,0.729,drs
64,0.185,0.266,0.695,drs
65,0.150,0.264,0.569,drs
66,0.175,0.263,0.664,drs
67,0.159,0.261,0.609,drs
68,0.145,0.257,0.564,drs
69,0.137,0.247,0.554,drs
70,0.126,0.245,0.515,drs
71,0.134,0.244,0.550,drs
72,0.106,0.243,0.439,drs
73,0.349,0.407,0.858,drs
74,0.289,0.415,0.696,drs
75,0.240,0.430,0.560,drs
76,0.233,0.434,0.537,drs
77,0.181,0.462,0.392,drs
78,0.154,0.464,0.332,drs
79,0.167,0.469,0.356,drs
80,0.151,0.474,0.319,drs
81,0.115,0.480,0.240,drs
